date,price
2005-03-07,40000
2005-03-08,40000
2005-03-09,40000
2005-03-10,40000
2005-03-11,40000
2005-03-12,40000
2005-03-13,40000
2005-03-14,40000
2005-03-15,40000
2005-03-16,40000
2005-03-17,40000
2005-03-18,40000
2005-03-19,40000
2005-03-20,40000
2005-03-21,40000
2005-03-22,40000
2005-03-23,40000
2005-03-24,40000
2005-03-25,40000
2005-03-26,40000
2005-03-27,40000
2005-03-28,40000
2005-03-29,40000
2005-03-30,40000
2005-03-31,40000
2005-04-01,40000
2005-04-02,40000
2005-04-03,40000
2005-04-04,40000
2005-04-05,40000
2005-04-06,40000
2005-04-07,40000
2005-04-08,40000
2005-04-09,40000
2005-04-10,40000
2005-04-11,40000
2005-04-12,40000
2005-04-13,40000
2005-04-14,40000
2005-04-15,40000
2005-04-16,40000
2005-04-17,40000
2005-04-18,40000
2005-04-19,40000
2005-04-20,40000
2005-04-21,40000
2005-04-22,40000
2005-04-23,40000
2005-04-24,40000
2005-04-25,40000
2005-04-26,40000
2005-04-27,40000
2005-04-28,40000
2005-04-29,40000
2005-04-30,40000
2005-05-01,40000
2005-05-02,40000
2005-05-03,40000
2005-05-04,40000
2005-05-05,40000
2005-05-06,40000
2005-05-07,40000
2005-05-08,40000
2005-05-09,40000
2005-05-10,40000
2005-05-11,40000
2005-05-12,40000
2005-05-13,40000
2005-05-14,40000
2005-05-15,40000
2005-05-16,40000
2005-05-17,40000
2005-05-18,40000
2005-05-19,40000
2005-05-20,40000
2005-05-21,40000
2005-05-22,40000
2005-05-23,40000
2005-05-24,40000
2005-05-25,40000
2005-05-26,40000
2005-05-27,40000
2005-05-28,40000
2005-05-29,40000
2005-05-30,40000
2005-05-31,40000
2005-06-01,40000
2005-06-02,40000
2005-06-03,40000
2005-06-04,40000
2005-06-05,40000
2005-06-06,40000
2005-06-07,40000
2005-06-08,40000
2005-06-09,40000
2005-06-10,40000
2005-06-11,40000
2005-06-12,40000
2005-06-13,40000
2005-06-14,40000
2005-06-15,40000
2005-06-16,40000
2005-06-17,40000
2005-06-18,40000
2005-06-19,40000
2005-06-20,40000
2005-06-21,40000
2005-06-22,40000
2005-06-23,40000
2005-06-24,40000
2005-06-25,40000
2005-06-26,40000
2005-06-27,40000
2005-06-28,40000
2005-06-29,40000
2005-06-30,40000
2005-07-01,40000
2005-07-02,40000
2005-07-03,40000
2005-07-04,40000
2005-07-05,40000
2005-07-06,41000
2005-07-07,41000
2005-07-08,41000
2005-07-09,41000
2005-07-10,41000
2005-07-11,41000
2005-07-12,41000
2005-07-13,41000
2005-07-14,41000
2005-07-15,41000
2005-07-16,41000
2005-07-17,41000
2005-07-18,41000
2005-07-19,41000
2005-07-20,41000
2005-07-21,41000
2005-07-22,41000
2005-07-23,41000
2005-07-24,41000
2005-07-25,41000
2005-07-26,41000
2005-07-27,41000
2005-07-28,41000
2005-07-29,41000
2005-07-30,41000
2005-07-31,41000
2005-08-01,41000
2005-08-02,41000
2005-08-03,41000
2005-08-04,41000
2005-08-05,41000
2005-08-06,41000
2005-08-07,41000
2005-08-08,41000
2005-08-09,41000
2005-08-10,41000
2005-08-11,41000
2005-08-12,41000
2005-08-13,41000
2005-08-14,41000
2005-08-15,41000
2005-08-16,41000
2005-08-17,41000
2005-08-18,41000
2005-08-19,41000
2005-08-20,41000
2005-08-21,41000
2005-08-22,41000
2005-08-23,41000
2005-08-24,41000
2005-08-25,41000
2005-08-26,41000
2005-08-27,41000
2005-08-28,41000
2005-08-29,41000
2005-08-30,40000
2005-08-31,40000
2005-09-01,40000
2005-09-02,40000
2005-09-03,40000
2005-09-04,40000
2005-09-05,39000
2005-09-06,39000
2005-09-07,39000
2005-09-08,39000
2005-09-09,39000
2005-09-10,39000
2005-09-11,39000
2005-09-12,39000
2005-09-13,39000
2005-09-14,38000
2005-09-15,38000
2005-09-16,38000
2005-09-17,38000
2005-09-18,38000
2005-09-19,38000
2005-09-20,38000
2005-09-21,38000
2005-09-22,38000
2005-09-23,38000
2005-09-24,38000
2005-09-25,38000
2005-09-26,38000
2005-09-27,38000
2005-09-28,38000
2005-09-29,38000
2005-09-30,38000
2005-10-01,38000
2005-10-02,38000
2005-10-03,38000
2005-10-04,38000
2005-10-05,38000
2005-10-06,38000
2005-10-07,38000
2005-10-08,38000
2005-10-09,38000
2005-10-10,38000
2005-10-11,38000
2005-10-12,37000
2005-10-13,37000
2005-10-14,37000
2005-10-15,37000
2005-10-16,37000
2005-10-17,37000
2005-10-18,37000
2005-10-19,36000
2005-10-20,36000
2005-10-21,36000
2005-10-22,36000
2005-10-23,36000
2005-10-24,36000
2005-10-25,36000
2005-10-26,36000
2005-10-27,36000
2005-10-28,36000
2005-10-29,36000
2005-10-30,36000
2005-10-31,36000
2005-11-01,36000
2005-11-02,36000
2005-11-03,36000
2005-11-04,36000
2005-11-05,36000
2005-11-06,36000
2005-11-07,36000
2005-11-08,36000
2005-11-09,36000
2005-11-10,36000
2005-11-11,36000
2005-11-12,36000
2005-11-13,36000
2005-11-14,36000
2005-11-15,36000
2005-11-16,36000
2005-11-17,36000
2005-11-18,36000
2005-11-19,36000
2005-11-20,36000
2005-11-21,36000
2005-11-22,36000
2005-11-23,36000
2005-11-24,36000
2005-11-25,36000
2005-11-26,36000
2005-11-27,36000
2005-11-28,36000
2005-11-29,36000
2005-11-30,36000
2005-12-01,36000
2005-12-02,36000
2005-12-03,36000
2005-12-04,36000
2005-12-05,36000
2005-12-06,36000
2005-12-07,36000
2005-12-08,36000
2005-12-09,36000
2005-12-10,36000
2005-12-11,36000
2005-12-12,36000
2005-12-13,36000
2005-12-14,36000
2005-12-15,36000
2005-12-16,36000
2005-12-17,36000
2005-12-18,36000
2005-12-19,36000
2005-12-20,36000
2005-12-21,36000
2005-12-22,36000
2005-12-23,36000
2005-12-24,36000
2005-12-25,36000
2005-12-26,36000
2005-12-27,36000
2005-12-28,36000
2005-12-29,36000
2005-12-30,36000
2005-12-31,36000
2006-01-01,36000
2006-01-02,36000
2006-01-03,36000
2006-01-04,36000
2006-01-05,36000
2006-01-06,36000
2006-01-07,36000
2006-01-08,36000
2006-01-09,36000
2006-01-10,36000
2006-01-11,36000
2006-01-12,36000
2006-01-13,36000
2006-01-14,36000
2006-01-15,36000
2006-01-16,36000
2006-01-17,36000
2006-01-18,36000
2006-01-19,36000
2006-01-20,36000
2006-01-21,36000
2006-01-22,36000
2006-01-23,36000
2006-01-24,36000
2006-01-25,36000
2006-01-26,36000
2006-01-27,36000
2006-01-28,36000
2006-01-29,36000
2006-01-30,36000
2006-01-31,36000
2006-02-01,36000
2006-02-02,36000
2006-02-03,36000
2006-02-04,36000
2006-02-05,36000
2006-02-06,36000
2006-02-07,36000
2006-02-08,36000
2006-02-09,36000
2006-02-10,36000
2006-02-11,36000
2006-02-12,36000
2006-02-13,36000
2006-02-14,36000
2006-02-15,36000
2006-02-16,36000
2006-02-17,36000
2006-02-18,36000
2006-02-19,36000
2006-02-20,36000
2006-02-21,36000
